-19;-19;nan
-19;-17;nan
-19;-15;nan
-19;-13;nan
-19;-11;nan
-19;-9;nan
-19;-7;nan
-19;-5;nan
-19;-3;nan
-19;-1;nan
-19;1;nan
-19;3;nan
-19;5;nan
-19;7;nan
-19;9;nan
-19;11;nan
-19;13;nan
-19;15;nan
-19;17;nan
-17;-19;nan
-17;-17;0.5
-17;-15;0.833333
-17;-13;1
-17;-11;1
-17;-9;0.8
-17;-7;0.758621
-17;-5;1
-17;-3;1
-17;-1;1
-17;1;1.04348
-17;3;1
-17;5;1
-17;7;0.862745
-17;9;1
-17;11;1
-17;13;1
-17;15;1
-17;17;1.05882
-15;-19;nan
-15;-17;0.666667
-15;-15;0.761905
-15;-13;1
-15;-11;1
-15;-9;0.98
-15;-7;0.9375
-15;-5;0.835294
-15;-3;0.84375
-15;-1;0.950495
-15;1;1.09434
-15;3;1.03738
-15;5;1.09639
-15;7;1.01538
-15;9;0.743243
-15;11;1.06897
-15;13;1
-15;15;0.857143
-15;17;1
-13;-19;nan
-13;-17;0.826087
-13;-15;1
-13;-13;1
-13;-11;0.859375
-13;-9;0.802469
-13;-7;1.03261
-13;-5;1
-13;-3;0.937008
-13;-1;0.921986
-13;1;0.986301
-13;3;1
-13;5;1
-13;7;1
-13;9;0.825688
-13;11;0.857143
-13;13;1
-13;15;0.761905
-13;17;0.771429
-11;-19;nan
-11;-17;0.894737
-11;-15;1
-11;-13;1
-11;-11;0.859155
-11;-9;1
-11;-7;1
-11;-5;0.869863
-11;-3;0.975309
-11;-1;1
-11;1;1.09375
-11;3;1.00549
-11;5;1.08434
-11;7;0.99359
-11;9;0.885496
-11;11;1.04167
-11;13;1
-11;15;1
-11;17;1
-9;-19;nan
-9;-17;1
-9;-15;1.07143
-9;-13;1.04478
-9;-11;0.934066
-9;-9;0.959016
-9;-7;1
-9;-5;1
-9;-3;0.945946
-9;-1;0.959799
-9;1;0.844
-9;3;0.910448
-9;5;0.821256
-9;7;0.966667
-9;9;1
-9;11;0.966667
-9;13;0.714286
-9;15;0.835821
-9;17;1.09756
-7;-19;nan
-7;-17;1
-7;-15;0.796296
-7;-13;0.853659
-7;-11;1.06316
-7;-9;0.847222
-7;-7;1.03659
-7;-5;1.03846
-7;-3;0.705128
-7;-1;0.61157
-7;1;0.597173
-7;3;0.596296
-7;5;0.926108
-7;7;1
-7;9;0.977401
-7;11;1.08955
-7;13;1.07895
-7;15;1
-7;17;0.909091
-5;-19;nan
-5;-17;0.857143
-5;-15;1.09804
-5;-13;0.770115
-5;-11;1.08333
-5;-9;0.964789
-5;-7;0.963415
-5;-5;0.825641
-5;-3;0.740909
-5;-1;0.599278
-5;1;0.595395
-5;3;0.764228
-5;5;0.600806
-5;7;0.814607
-5;9;0.892216
-5;11;0.942308
-5;13;1.04444
-5;15;0.985915
-5;17;1
-3;-19;nan
-3;-17;0.783784
-3;-15;0.867925
-3;-13;1.01282
-3;-11;0.833333
-3;-9;1.07194
-3;-7;0.810056
-3;-5;0.638095
-3;-3;0.684444
-3;-1;0.592982
-3;1;0.69281
-3;3;0.511327
-3;5;0.603922
-3;7;0.703704
-3;9;1
-3;11;0.922619
-3;13;1
-3;15;0.972222
-3;17;1
-1;-19;nan
-1;-17;1
-1;-15;1
-1;-13;1.05128
-1;-11;1.06542
-1;-9;0.909639
-1;-7;1
-1;-5;0.59799
-1;-3;0.609053
-1;-1;0.576324
-1;1;0.667845
-1;3;0.634146
-1;5;0.618852
-1;7;0.679803
-1;9;0.791262
-1;11;1.04861
-1;13;0.855932
-1;15;1.07042
-1;17;0.962963
1;-19;nan
1;-17;1.05714
1;-15;0.981481
1;-13;0.949367
1;-11;0.896552
1;-9;1.08333
1;-7;0.852459
1;-5;0.515873
1;-3;0.617761
1;-1;0.625806
1;1;0.649701
1;3;0.61745
1;5;0.630282
1;7;0.637168
1;9;1.08791
1;11;1.07097
1;13;0.980769
1;15;1
1;17;1
3;-19;nan
3;-17;0.653846
3;-15;1
3;-13;0.771739
3;-11;0.96
3;-9;0.929078
3;-7;0.981132
3;-5;0.629268
3;-3;0.64
3;-1;0.509025
3;1;0.595238
3;3;0.664179
3;5;0.635556
3;7;0.752294
3;9;0.851852
3;11;1
3;13;0.72043
3;15;0.888889
3;17;0.588235
5;-19;nan
5;-17;1
5;-15;1.09524
5;-13;1
5;-11;0.987654
5;-9;1.06522
5;-7;0.954545
5;-5;0.842466
5;-3;0.721893
5;-1;0.79235
5;1;0.615686
5;3;0.651452
5;5;0.670051
5;7;0.927152
5;9;1
5;11;0.760684
5;13;0.802469
5;15;1.02
5;17;0.810811
7;-19;nan
7;-17;1
7;-15;0.676471
7;-13;0.955556
7;-11;1
7;-9;0.96
7;-7;1.08511
7;-5;1
7;-3;1.03448
7;-1;0.978873
7;1;0.783951
7;3;0.704819
7;5;0.992754
7;7;1.01869
7;9;0.905172
7;11;1
7;13;1.01887
7;15;1.05
7;17;1
9;-19;nan
9;-17;0.789474
9;-15;0.444444
9;-13;1.05882
9;-11;1
9;-9;0.881356
9;-7;1
9;-5;0.873563
9;-3;1.05
9;-1;1.05405
9;1;0.84
9;3;0.977099
9;5;1.05
9;7;0.989474
9;9;1.1
9;11;0.927536
9;13;1
9;15;1
9;17;0.681818
11;-19;nan
11;-17;0.833333
11;-15;0.923077
11;-13;1.04348
11;-11;0.972222
11;-9;1
11;-7;0.982143
11;-5;1.05172
11;-3;0.770115
11;-1;0.885057
11;1;0.895238
11;3;1
11;5;1
11;7;0.828571
11;9;0.794118
11;11;0.811321
11;13;0.870968
11;15;0.724138
11;17;0.846154
13;-19;nan
13;-17;1
13;-15;0.733333
13;-13;1.04348
13;-11;0.833333
13;-9;1.04
13;-7;0.764706
13;-5;1
13;-3;1
13;-1;0.907407
13;1;1
13;3;0.803922
13;5;1
13;7;1
13;9;0.833333
13;11;0.961538
13;13;1
13;15;1
13;17;1
15;-19;nan
15;-17;0.166667
15;-15;0.636364
15;-13;0.636364
15;-11;1
15;-9;1
15;-7;1
15;-5;0.83871
15;-3;1
15;-1;0.666667
15;1;0.935484
15;3;0.555556
15;5;0.83871
15;7;1
15;9;1
15;11;1
15;13;0.588235
15;15;1
15;17;0.25
17;-19;nan
17;-17;0
17;-15;0
17;-13;0.333333
17;-11;1
17;-9;0.545455
17;-7;1
17;-5;1
17;-3;1
17;-1;1
17;1;0.434783
17;3;0.857143
17;5;1
17;7;0.461538
17;9;0.818182
17;11;0.785714
17;13;1
17;15;1
17;17;1
